season,player,possessions,DRAYMOND
2019,DeAndre Jordan,4299.975,0.8333448
2014,Michael Kidd-Gilchrist,3062.714,1.475577
2019,Frank Ntilikina,1931.923,0.0074749
2016,Mario Chalmers,2787.022,0.9109746
2014,Al Harrington,1147.454,-0.7183384
2016,Jarell Martin,866.9354,-0.6696759
2015,Gal Mekel,85.54312,8.193834
2019,Chris Paul,4742.603,-0.8897975
2019,Tim Frazier,2553.811,-3.009491
2019,Patrick Beverley,5029.338,1.24702
2016,Lavoy Allen,3346.579,0.2733168
2017,Luis Scola,995.6639,-1.005909
2015,Cody Zeller,2965.636,1.143239
2019,Bobby Portis,2772.841,-1.499604
2018,Jonas Valanciunas,4099.582,1.630162
2014,Brandon Knight,4706.0,-1.051872
2017,Paul Pierce,770.8912,2.691732
2015,Andre Miller,2472.937,1.051351
2016,Jordan Farmar,792.4221,0.8915539
2014,Rashard Lewis,2484.283,0.1669163
2019,Alfonzo McKinnie,2708.746,-0.2212932
2018,Channing Frye,1468.852,-1.635754
2019,Drew Eubanks,239.1363,0.6037934
2017,Jusuf Nurkic,2942.863,0.8676469
2018,Patrick Beverley,671.8967,-2.872156
2016,Tyler Johnson,1820.377,0.8477878
2016,Thanasis Antetokounmpo,12.96,-2.534407
2019,Terrance Ferguson,4504.354,-0.3312069
2017,Joel Anthony,290.534,-2.518815
2015,Nazr Mohammed,288.7792,5.407682
2017,Jerryd Bayless,145.4908,-1.179601
2016,Richard Jefferson,3407.714,0.5229594
2018,Tony Bradley,67.96146,-6.368362
2015,Harrison Barnes,6272.954,0.2146684
2014,Tiago Splitter,3657.586,2.272696
2015,Allen Crabbe,1483.248,0.8822076
2017,Iman Shumpert,4543.801,1.476666
2015,Joey Dorsey,1826.902,1.032701
2018,James Johnson,4323.785,0.1025739
2016,Glenn Robinson III,1065.854,0.4215799
2015,Cleanthony Early,1299.392,-1.808145
2016,Jerian Grant,2568.477,-0.2603633
2015,Chandler Parsons,4532.335,-1.048
2015,Dennis Schroder,3597.875,-1.159495
2017,Pascal Siakam,1769.776,-0.7811478
2019,Zach Collins,3419.074,0.4894518
2016,Richaun Holmes,1501.987,-0.7031883
2014,Andrei Kirilenko,1957.478,-0.9425939
2018,Victor Oladipo,5741.855,0.0997797
2014,John Jenkins,327.4221,-2.409361
2017,Allen Crabbe,4891.046,-0.6799405
2018,Kyle Collinsworth,980.4,-0.9668528
2019,Treveon Graham,1751.878,1.143259
2019,Nemanja Bjelica,3949.617,1.758008
2014,Brook Lopez,1045.679,3.288444
2018,Rashad Vaughn,435.1092,2.149994
2015,Stephen Curry,7209.088,0.4450231
2019,Justin Jackson,3505.195,-0.1563013
2015,D.J. Augustin,3928.51,-0.7323543
2016,Mike Conley,3461.099,-0.634468
2019,Marcus Morris,5008.733,-0.3261464
2015,Grant Jerrett,110.6294,-1.078431
2019,Collin Sexton,5373.898,-3.585276
2017,DeMarre Carroll,4080.245,1.859354
2017,Gary Neal,37.8,-6.198439
2015,Nick Young,2041.667,1.012706
2017,Boris Diaw,2911.503,-0.7692227
2015,Markel Brown,1595.18,-2.262045
2016,Kevin Seraphin,1083.45,2.03015
2018,Jordan Mickey,571.3725,0.0394533
2019,Yante Maten,26.93167,12.71226
2018,Jose Calderon,2086.285,-0.4370299
2017,James Jones,843.5075,-1.877013
2014,Troy Daniels,288.6606,-4.13577
2017,Frank Kaminsky,4004.886,-0.1855199
2016,Coty Clarke,12.9275,-2.534407
2014,Casper Ware,247.0075,0.4714599
2016,Will Barton,4796.688,-0.1594934
2016,Robert Covington,4008.987,-0.0284297
2014,Andris Biedrins,92.35313,-3.435771
2014,Wilson Chandler,4012.175,1.534118
2014,Ray Allen,4700.639,-1.618367
2015,Chuck Hayes,511.8062,-0.8071458
2016,Kirk Hinrich,1342.097,0.1770784
2016,Cameron Payne,1574.687,-0.5835651
2017,Jon Leuer,3942.675,-0.5600038
2019,Isaac Bonga,269.95,-2.64219
2014,Othyus Jeffers,90.07563,6.565886
2016,Spencer Dinwiddie,322.6883,-0.4032426
2017,Davis Bertans,1917.172,0.936015
2019,Kawhi Leonard,6177.954,0.2488732
2016,Rakeem Christmas,12.7875,-2.534407
2017,Bobby Brown,319.0952,1.514174
2018,E'Twaun Moore,6183.94,-0.8450288
2014,Austin Rivers,2638.667,-0.1821463
2017,Thomas Robinson,1169.7,-3.135154
2015,Earl Barron,295.3248,-2.874414
2017,Lance Thomas,1978.753,0.6817508
2015,Jonas Jerebko,2598.927,2.607201
2019,Kostas Antetokounmpo,23.42312,17.30952
2018,Bojan Bogdanovic,5554.766,-0.4630767
2019,Ish Smith,2763.467,0.3866644
2014,Andre Iguodala,4652.563,-0.3161691
2018,Daniel Theis,1936.35,1.349986
2019,DeMar DeRozan,6022.795,-0.9552971
2019,Allonzo Trier,3104.326,-0.9024433
2018,Bruno Caboclo,213.9506,4.007223
2016,D.J. Augustin,2424.818,-2.181583
2014,Jeff Withey,1378.688,0.6656709
2014,Robert Sacre,2331.367,-0.4946134
2015,Dahntay Jones,316.7412,-1.504929
2015,Arron Afflalo,5152.402,0.4833177
2019,Jason Smith,424.3208,1.056548
2018,Malcolm Delaney,2135.104,-0.0739758
2019,Jeremy Lin,3269.617,-1.95614
2015,Charlie Villanueva,1562.808,-1.143887
2017,Reggie Jackson,2873.81,-1.132916
2016,James Young,441.0779,-4.161872
2016,Bruno Caboclo,89.66396,-2.349551
2016,Brian Roberts,1057.007,0.6481064
2017,Rodney McGruder,3947.564,-1.232166
2018,Ike Anigbogu,64.95625,-5.899507
2016,Omer Asik,2411.709,-0.0263388
2018,Langston Galloway,1779.578,-1.126087
2016,Ryan Kelly,988.3708,1.407546
2018,Tyus Jones,3112.983,-0.9094095
2016,Jason Smith,2459.186,-0.2935266
2016,Brandon Bass,2757.251,-0.4168868
2018,Johnathan Motley,349.47,-0.8174038
2019,Aaron Holiday,1434.413,1.722443
2016,Chris Paul,5208.333,-0.8402417
2018,Andrew White III,455.2717,-2.468737
2018,Justise Winslow,3722.56,1.705314
2014,Manny Harris,375.6,-3.505622
2017,Chinanu Onuaku,113.88,-2.621908
2019,Thon Maker,2219.724,1.109347
2015,Tim Duncan,4932.373,2.237419
2019,Kevin Durant,6753.048,0.9417883
2019,Kobi Simmons,3.88875,39.09287
2015,Jimmy Butler,5898.243,0.25909
2016,Aaron Harrison,223.9285,0.6334358
2018,Jeff Withey,84.84937,2.136376
2019,James Nunnally,221.0771,-4.838217
2015,Clint Capela,483.7279,4.549577
2014,Terrence Ross,4558.269,1.094125
2015,Jason Terry,4499.721,0.6872742
2014,Aron Baynes,1222.682,-0.0083244
2019,Tyler Dorsey,1530.89,-2.842403
2017,Ivica Zubac,1316.582,0.600045
2018,CJ Miles,3277.35,-0.3672993
2017,Darrun Hilliard,768.985,-0.2229013
2015,Kelly Olynyk,3076.617,0.5352277
