season,player,possessions,DRAYMOND
2014,Anderson Varejao,3529.5,0.047936
2015,Aaron Gordon,1621.729,1.528847
2019,Jamal Murray,6100.31,-0.526793
2017,Toney Douglas,810.4088,-1.733108
2014,Hamady Ndiaye,152.9796,-3.682693
2018,Isaiah Taylor,2502.972,0.2623522
2017,Jeff Green,3158.123,0.0563433
2016,Avery Bradley,5346.738,-0.1717675
2018,Justin Anderson,1186.022,1.034771
2019,JR Smith,474.2938,-2.110548
2019,Jimmer Fredette,143.0135,-2.982404
2019,Maxi Kleber,3167.656,2.942533
2018,Bradley Beal,6543.007,-0.2539472
2018,Mangok Mathiang,43.43333,1.24227
2015,Jose Calderon,2475.442,-4.076261
2017,Michael Kidd-Gilchrist,4762.598,0.6810961
2017,Zaza Pachulia,3173.179,-0.9108621
2018,DeMar DeRozan,6360.891,-0.5948776
2016,Marcus Morris,6015.175,0.3269506
2016,Karl-Anthony Towns,5349.776,0.2019129
2019,Wesley Matthews,4655.639,-1.008086
2014,Chris Douglas-Roberts,2157.003,-0.2968484
2019,Daniel Theis,2060.651,0.3359011
2019,E'Twaun Moore,3186.902,-1.435305
2017,Richard Jefferson,3707.72,0.6520234
2016,Delon Wright,546.0819,0.9005281
2015,Shane Larkin,3624.705,-0.4137237
2019,Dairis Bertans,368.896,-7.335623
2018,Nicolas Brussino,21.19167,4.958299
2014,Steve Nash,678.2971,-2.319388
2014,Serge Ibaka,6557.655,2.547797
2017,Tiago Splitter,163.0675,-1.616454
2015,Patrick Beverley,3514.805,-0.2775419
2016,Rodney Stuckey,2851.25,-0.4037335
2017,Joakim Noah,2078.424,-0.1124291
2018,Jeremy Lamb,4089.721,0.2748568
2015,Nikola Mirotic,3598.484,0.5766428
2018,Matt Williams Jr.,23.64083,10.46923
2016,Ryan Hollins,915.6909,-0.9572431
2014,Jamaal Tinsley,211.1083,-4.070596
2016,Kyle Anderson,2770.29,-0.5133657
2015,CJ Miles,3728.025,1.032112
2019,Alex Poythress,681.7385,1.195631
2015,Tobias Harris,4685.685,-0.0349281
2014,Glen Rice,224.2675,3.53185
2016,Bryce Cotton,81.4875,-8.125449
2015,Mitch McGary,1029.615,-0.3629532
2017,Mason Plumlee,4444.978,0.33773
2018,JR Smith,6046.364,-0.9578618
2018,Shaun Livingston,3139.092,-0.1144816
2016,Shane Larkin,3569.122,-0.3156683
2017,Demetrius Jackson,35.97271,-5.816931
2016,Jusuf Nurkic,1124.883,-0.4923325
2017,Kelly Olynyk,3903.598,-0.4052109
2017,Garrett Temple,3500.64,0.31161
2017,Rondae Hollis-Jefferson,3865.028,0.6297309
2015,Kosta Koufos,2914.013,1.469662
2019,DeMarcus Cousins,1939.043,2.178251
2017,Fred VanVleet,675.3519,-0.2955561
2014,Jason Thompson,4012.327,0.117887
2019,Antonio Blakeney,1767.843,-4.08464
2016,Raul Neto,2911.807,-0.5905532
2016,Jordan Clarkson,5193.852,-1.366767
2015,Mike Dunleavy,4343.88,0.991632
2017,Spencer Hawes,1691.887,-0.2420825
2014,Kyle O'Quinn,2414.857,1.298686
2018,Luc Mbah a Moute,3568.134,0.2740562
2014,Tyson Chandler,3196.234,0.0824771
2014,Jason Terry,1129.431,-1.12166
2016,Lorenzo Brown,129.0658,-6.184299
2019,De'Aaron Fox,5626.129,-0.1688833
2017,Kelly Oubre Jr.,3757.777,-0.5555429
2016,Caron Butler,379.72,-1.654163
2015,Blake Griffin,5882.581,0.3489613
2017,Jabari Parker,3522.24,-0.8782799
2016,James Anderson,1565.471,1.555346
2016,Kevin Garnett,1128.68,1.218374
2015,Vince Carter,2578.865,-0.3004413
2015,Jeremy Lamb,1253.604,2.629863
2017,Jeremy Lin,1963.387,2.192812
2018,Trevor Ariza,5880.553,-1.197811
2015,Jason Thompson,4025.138,-0.3254941
2017,Noah Vonleh,2824.697,1.645549
2017,Bismack Biyombo,3612.148,-0.4636807
2017,Ronnie Price,289.5796,-1.998088
2014,Joel Freeland,1546.108,1.414928
2018,Joe Ingles,6064.857,-0.1427694
2018,Marshall Plumlee,116.0467,0.5871179
2017,Jamal Crawford,4852.012,-0.9528797
2018,Terrance Ferguson,1577.402,-0.0324401
2016,Kawhi Leonard,5398.454,1.740303
2018,Isaiah Canaan,866.6395,0.7217466
2015,Landry Fields,441.045,-1.306633
2019,George King,12.20375,-30.66314
2018,Luke Kennard,2986.044,-1.155739
2016,Johnny O'Bryant III,1706.323,-0.1365943
2016,Shelvin Mack,2077.009,0.8190705
2015,O.J. Mayo,3758.849,1.956261
2018,OG Anunoby,3577.598,0.0624123
2019,Milos Teodosic,337.5,-4.553483
2017,Willie Cauley-Stein,2881.966,-0.1088398
2015,Ben Gordon,1590.204,-1.463186
2016,Dion Waiters,5457.22,1.030256
2018,Danilo Gallinari,1379.884,1.315486
2016,Alec Burks,1601.472,-2.254529
2019,Bismack Biyombo,1631.087,0.0141299
2016,Jrue Holiday,3801.232,-1.056149
2016,Emmanuel Mudiay,4261.803,-0.2389016
2015,Samuel Dalembert,1066.353,2.45983
2015,Andrea Bargnani,1552.828,-2.263379
2017,Kawhi Leonard,5736.608,0.0466608
2017,Domantas Sabonis,3384.424,0.4933529
2017,Alan Williams,1532.083,2.144733
2014,Wesley Matthews,6477.213,0.3159355
2019,Demetrius Jackson,88.47312,3.440001
2018,Jarrett Jack,3187.912,-1.219944
2019,Zach LaVine,4546.888,-0.8320915
2014,Norris Cole,4659.871,-1.526053
2017,Joe Johnson,4274.258,0.163696
2018,Ish Smith,4222.625,1.212259
2017,Amir Johnson,3577.901,1.915634
2017,Tarik Black,2292.691,1.896666
2017,Skal Labissiere,1255.747,0.7275212
2016,Matt Bonner,410.1546,1.449247
2015,Devyn Marble,452.14,-2.194273
2019,Avery Bradley,4044.191,0.4150857
2019,Abdel Nader,1548.422,-1.125015
2015,Victor Oladipo,5125.63,-1.757034
2019,Brandon Sampson,444.8525,-1.619589
2019,MarShon Brooks,789.9638,-0.081944
2018,JJ Redick,5344.327,-0.5717143
2016,Thabo Sefolosha,4094.866,1.463963
2015,Ronnie Price,1986.3,-1.805475
2014,Gigi Datome,487.9496,-3.917734
2017,Troy Daniels,2520.365,0.0252552
2015,Lester Hudson,194.8729,-1.337524
2018,Brook Lopez,3716.515,1.261595
2018,Solomon Hill,677.1552,-1.831623
2019,Otto Porter Jr.,3634.027,-1.139196
2014,Kendall Marshall,3305.253,-1.939573
2014,Ronnie Brewer,337.3521,-0.2833821
2015,Jabari Parker,1502.137,-2.655235
2016,Drew Gooden,653.1448,-3.020959
2014,Shane Larkin,1030.582,0.3196099
2018,Fred VanVleet,3347.008,0.4149565
2016,Isaiah Canaan,4097.472,-1.149597
2019,Bogdan Bogdanovic,4204.709,-0.4795555
2016,Kostas Papanikolaou,584.9988,-0.1430721
2018,Jordan Crawford,157.0792,-6.836968
2016,Hollis Thompson,4521.605,-0.426832
2017,Patty Mills,4507.787,-0.8691234
2014,Shawn Marion,5235.866,0.7084085
2019,Markelle Fultz,940.8234,0.8050151
2018,Brandon Paul,1229.537,-0.3282866
2017,Semaj Christon,2030.655,-1.677323
2018,Wes Iwundu,2101.413,0.8494036
2016,Kristaps Porzingis,4087.603,2.877032
2018,Matthew Dellavedova,1616.79,-1.00318
2017,Jordan Hill,92.85438,-5.336166
2015,Luc Mbah a Moute,3863.135,1.506173
2014,Chris Smith,5.110834,-2.553921
2019,Lance Stephenson,2511.075,-1.203972
2019,Wilson Chandler,2670.169,-0.3346234
2019,Jordan Loyd,128.8948,-1.181882
2016,Ricky Rubio,4736.016,-1.032061
2018,Lauri Markkanen,4221.379,-0.6910609
2016,Sonny Weems,1079.387,-3.219189
2014,Justin Hamilton,142.3817,-1.26535
2014,Jeff Adrien,1918.073,-2.043706
2018,Luis Montero,17.10667,19.75343
2015,Gerald Henderson,4556.209,0.4954305
2014,Robert Covington,70.35167,3.05856
2019,Lonnie Walker IV,294.8958,4.743192
2019,Andre Ingram,34.35625,1.737955
2019,John Holland,2.03625,-2.437187
2017,Nikola Vucevic,4508.954,0.8177278
2015,Evan Turner,4865.804,0.2650354
2015,Jarnell Stokes,263.7075,-0.8250883
2019,Melvin Frazier Jr.,133.5625,-2.990253
2016,Ty Lawson,3150.004,-0.3198073
2017,Paul Zipser,1987.685,0.468882
2017,Carmelo Anthony,5151.083,-0.1235619
2018,Rudy Gay,2831.557,1.162448
2016,Bryce Dejean-Jones,563.8707,-2.566566
2015,Darius Miller,88.74125,1.745745
2017,Aaron Brooks,1837.432,-1.121518
2017,Brandan Wright,909.8988,2.289301
2017,Andre Roberson,5343.956,2.848248
2017,Chasson Randle,625.4523,-1.023183
2018,Vincent Hunter,17.01146,-1.252377
2014,Thaddeus Young,5714.029,-1.635338
2017,Dwight Powell,2664.056,-0.9563792
2017,Tim Frazier,3173.589,1.143598
2014,Tyshawn Taylor,543.0938,-1.885213
2015,Justin Hamilton,1397.868,0.0489825
2018,Davon Reed,524.1821,-0.7809126
2014,Luis Scola,3244.159,0.6942353
2014,Nikola Vucevic,3613.808,-0.1528459
2018,D.J. Augustin,3681.333,-1.136894
2017,JJ Redick,4905.741,-1.13225
2015,Joffrey Lauvergne,559.6175,-0.5693915
2017,Ty Lawson,3547.352,-1.884111
2017,Tyler Ennis,1241.66,0.5609008
2017,Gary Harris,3737.374,-2.711727
2019,Enes Kanter,4397.283,0.0059687
2018,Doug McDermott,3684.481,0.675782
2019,Joe Harris,5271.171,0.0170489
2015,Chris Bosh,2998.542,-0.1106217
2015,David West,3763.549,-0.684037
2015,Lance Stephenson,3121.422,-1.387446
2014,Deron Williams,4818.598,-0.0766072
2018,Jared Dudley,1453.462,-3.534771
2018,Evan Fournier,3897.119,-1.311648
2016,Nate Robinson,49.85729,7.592498
2017,Emmanuel Mudiay,2974.862,-2.574564
2016,Gorgui Dieng,4514.0,-1.004433
2016,Mitch McGary,164.475,0.346559
2016,Kevin Durant,6835.906,1.976788
2017,Boban Marjanovic,603.9463,1.803168
2018,Goran Dragic,5199.684,1.066044
2017,Elfrid Payton,4995.855,0.3554821
2015,Eric Moreland,6.255,-15.47586
2017,Buddy Hield,3910.11,-1.737076
2016,Aaron Brooks,2276.017,2.296577
2018,Marcus Georges-Hunt,491.2358,-1.579524
2019,Marquese Chriss,1057.473,-1.303733
2018,Gary Payton II,463.275,-3.453566
2016,Jared Dudley,4360.78,0.5216193
2015,Ramon Sessions,2808.84,1.015697
2015,Malcolm Lee,4.95875,-2.544731
2016,Monta Ellis,6079.063,0.7205921
2016,Trevor Ariza,6265.305,-0.4916286
2014,Marquis Teague,866.1198,1.690122
2015,Taj Gibson,3834.98,2.504864
2016,Carmelo Anthony,5000.966,-0.8231139
2016,Chris Johnson,1752.208,0.3489599
2018,James Michael McAdoo,39.10875,9.659239
2015,Goran Dragic,5375.005,-0.2586107
2017,Marcelo Huertas,505.9456,-4.035975
2014,Chris Wright,261.5287,1.344172
2018,DeAndre Jordan,5011.115,0.5483887
2019,Marvin Williams,4467.302,-1.218744
2018,Bobby Brown,248.1365,-3.849244
2018,Josh Jackson,4244.092,-1.028236
2017,Taurean Prince,2447.365,-0.3342524
2015,Jerome Jordan,792.1364,0.2394876
2015,J.J. Barea,3116.764,-0.1708004
2019,Lou Williams,4812.016,-1.66934
2015,Rodney Hood,2067.263,-0.780674
2016,Patrick Patterson,5063.612,0.7563658
2014,Peyton Siva,428.8667,-0.0576127
2019,Derrick Rose,3019.77,0.2653291
2018,Marcus Smart,4273.947,0.4074494
2019,Noah Vonleh,3662.479,0.0821514
2019,JaMychal Green,3244.371,-0.6598669
2017,Joe Harris,2505.734,-0.3379381
2018,John Holland,369.0612,-2.099662
2018,Jrue Holiday,7031.754,1.585426
2015,Michael Beasley,1010.421,1.291365
2018,Omer Asik,385.2269,2.234809
2019,Tyler Cavanaugh,91.33313,-0.57349
2018,MarShon Brooks,394.8458,-1.431783
2014,Boris Diaw,5235.049,0.0818633
2019,Jabari Parker,3712.89,-0.4037949
2017,Ian Clark,2867.646,-0.5014653
2018,Kenneth Faried,957.5354,-1.880325
2015,Anthony Morrow,3731.271,-1.146495
2017,Tomas Satoransky,1546.89,1.299695
2019,Dillon Brooks,677.1875,0.9486058
2018,Tyler Ulis,3512.542,-0.9642695
2014,Eric Maynor,667.11,-4.831151
2017,Omri Casspi,1307.77,-1.999832
2016,Stephen Curry,7075.422,1.516037
2016,Ian Clark,1543.631,-2.007247
2018,Nikola Vucevic,3578.829,-1.014983
2019,Tyler Johnson,3241.272,-0.1681149
2014,Isaiah Canaan,546.4725,1.134939
2017,Stephen Curry,6989.249,-0.2731158
2018,Jeremy Lin,62.54167,-8.721315
2015,Ian Mahinmi,2290.329,0.6019261
2016,Hassan Whiteside,4753.091,2.316257
2017,Justin Holiday,3376.34,-0.4651487
2019,Troy Williams,713.05,-2.142689
2015,Andre Iguodala,5579.277,0.6548673
2018,DeMarre Carroll,4576.637,0.0320733
2016,Tyreke Evans,1518.844,-3.240211
2015,Jordan Adams,521.6646,-2.243782
2019,Kyrie Irving,5434.451,-1.011272
2019,Tyrone Wallace,1453.151,1.65207
2019,Jahlil Okafor,2039.274,1.51559
2018,Zhou Qi,277.5358,2.325245
2014,Nazr Mohammed,1078.966,1.478314
2014,Greg Stiemsma,1964.489,-0.8638434
2015,Mike Conley,4825.353,-0.5808867
2015,DeMarre Carroll,5526.549,-0.2228986
2018,Garrett Temple,3269.365,-0.1669664
2018,Lucas Nogueira,926.8996,1.266305
2014,Shavlik Randolph,191.6031,4.927964
2019,Josh Richardson,5296.459,0.1574163
2015,Isaiah Canaan,1927.653,-0.3101012
2018,Tim Hardaway Jr.,3907.448,-0.173908
2014,Tornike Shengelia,318.2683,2.034868
2018,JaVale McGee,1649.229,1.696719
2019,Thomas Welsh,86.76,1.129862
2014,Devin Harris,2019.222,0.106442
2016,Jabari Parker,4831.05,-2.361523
2016,Xavier Munford,666.569,-0.2409212
2018,Dwight Howard,5142.539,-0.1855192
2014,Victor Oladipo,4996.798,1.710726
2017,Dennis Schroder,5579.665,0.4729238
2016,Elton Brand,483.6563,0.2917957
2017,Timofey Mozgov,2297.7,1.16494
2017,Evan Fournier,4572.719,0.1753554
2017,Shabazz Muhammad,3083.481,-1.768623
2017,Metta World Peace,331.3,-5.322348
2015,Zach Randolph,5235.822,-0.6206132
2016,Kyle O'Quinn,1554.899,2.00668
2019,Troy Caupain,32.75,7.82189
2014,Carrick Felix,83.28333,-2.811116
2019,Scott Machado,39.15583,4.654135
2016,Terry Rozier,857.6167,-1.490794
2019,Quincy Acy,282.6694,0.7414913
2015,Jordan Farmar,1087.646,0.618788
2018,Luke Kornet,684.4642,0.2357314
2017,Ryan Anderson,5141.913,-1.110725
2014,Marvin Williams,3256.976,0.1129489
2019,D.J. Augustin,4989.847,-1.766095
2018,Iman Shumpert,587.5925,-2.751817
2019,Isaiah Hicks,65.81333,-2.928121
2014,Gerald Green,4785.238,1.085949
2019,Lance Thomas,1678.23,0.3589628
2018,Andre Ingram,142.7067,-0.4649389
2016,Langston Galloway,4105.813,1.22112
2019,Frank Kaminsky,1598.083,-1.512557
2016,Anthony Brown,1217.218,0.8353338
2014,Chris Andersen,3305.118,1.578279
2015,Darius Morris,622.1938,-1.494098
2017,Jakob Poeltl,1320.966,-0.2515738
2015,AJ Price,633.5186,-1.790921
2019,Salah Mejri,851.2,0.7516112
2014,Marco Belinelli,4839.277,-1.298468
2017,Kemba Walker,5521.938,0.1733191
2019,Reggie Bullock,3973.735,-0.8596749
2018,Jawun Evans,1695.229,-1.031715
2018,Lance Thomas,2802.965,0.751981
2017,Khris Middleton,2184.57,-0.0103735
2015,Corey Brewer,5381.227,-0.0119568
2018,CJ McCollum,6346.93,0.4851325
2015,Terrence Jones,2710.937,1.394691
2017,Rodney Hood,3657.451,-0.6227342
2019,Jerryd Bayless,1376.004,-1.968334
2018,Thabo Sefolosha,1673.458,-0.1230812
2019,Mike Conley,4816.226,0.3806102
2017,Dwight Howard,4865.827,0.6328764
2015,Nate Robinson,1202.081,2.558972
2018,Jodie Meeks,2350.133,-1.335374
2015,Greg Monroe,4224.137,-0.1173422
2019,Al Horford,4834.457,1.1816
2016,Adreian Payne,999.3375,-1.042118
2018,Pascal Siakam,3832.983,0.2065345
2019,Lonzo Ball,3122.003,1.001462
2017,Cody Zeller,3484.5,0.0615563
2015,Jared Sullinger,3374.595,0.2483571
2015,Joel Freeland,1277.523,2.498928
2014,Ian Mahinmi,2961.022,2.436329
2019,James Harden,6753.953,1.395982
2015,Boris Diaw,4359.212,-0.2401635
2017,Roy Hibbert,1425.295,1.12938
2015,Derrick Rose,3952.129,1.114133
2019,Bradley Beal,6504.522,-0.7976942
2017,Georgios Papagiannis,727.4542,0.2835588
2017,Ricky Rubio,4950.345,-0.4809337
2015,Miroslav Raduljica,49.03313,-4.314675
2019,Patrick Patterson,1906.756,-0.1526592
2018,Malik Beasley,1265.11,-1.039444
2014,Andrea Bargnani,2409.25,-1.010836
2015,Chase Budinger,2629.87,-1.396307
2015,Brandon Jennings,2362.862,-1.387827
2014,Goran Dragic,5418.264,-0.5887415
2015,Nik Stauskas,2318.098,0.1918192
2017,Monta Ellis,4245.768,-0.6477671
2015,Hollis Thompson,3669.66,1.31194
2017,Christian Wood,216.5412,1.380481
2017,Kris Humphries,1442.497,1.047334
2019,Patty Mills,4431.046,-0.9606175
2015,Michael Kidd-Gilchrist,3158.13,0.458395
2018,Chris Boucher,1.89875,-2.493646
2014,Derrick Rose,617.7238,2.383804
2018,Lorenzo Brown,332.8468,2.92107
2018,Dakari Johnson,338.1233,2.385035
2015,Brandon Davies,882.8431,-3.693831
2014,DeAndre Jordan,6707.39,1.179703
2015,Spencer Dinwiddie,903.4594,-1.019658
2016,Kyle Korver,5687.664,0.1070734
2019,Markieff Morris,2863.223,0.9401299
2018,Omri Casspi,1589.15,1.569746
2019,Ante Zizic,2259.126,-0.4402087
2019,Deandre Ayton,4644.787,0.6161702
2017,Chris Andersen,235.4337,0.7690434
2019,C.J. Williams,270.64,-2.327097
2017,Tim Quarterman,182.6877,5.787476
2017,Ben Bentil,23.81667,-9.73349
2015,Kawhi Leonard,4570.545,-0.1521718
2015,CJ Wilcox,212.4156,-6.240419
2018,Thaddeus Young,5784.281,0.5140552
2014,Patrick Patterson,3420.519,0.3571275
2016,Klay Thompson,7418.566,1.360177
2019,Meyers Leonard,2211.993,-2.307427
2014,Otto Porter Jr.,659.4316,-1.296702
2017,Marcus Thornton,1181.625,-0.4132028
2016,JJ Hickson,922.8388,2.8587
2015,Ish Smith,1731.595,-0.7066251
2014,Danny Granger,2007.099,2.233075
2015,Matt Bonner,1973.129,2.422468
2015,Josh McRoberts,565.175,-0.1816447
2019,Greg Monroe,1255.985,0.28112
2015,Thabo Sefolosha,1965.217,1.655478
2017,Jason Smith,2551.355,0.6438035
2017,KJ McDaniels,1069.894,2.726859
2014,Robin Lopez,5979.652,2.445765
2019,Iman Shumpert,3454.531,-0.8315145
2016,Amir Johnson,4033.257,0.8365323
2015,KJ McDaniels,2797.737,1.525515
2015,Brandan Wright,2956.421,0.3272774
2015,Jeff Adrien,449.3052,-0.467325
2015,Gordon Hayward,5041.832,-0.8736283
2016,Garrett Temple,4095.068,-0.0915158
2017,T.J. McConnell,4571.286,-0.7608805
2016,JaMychal Green,3124.875,-0.0881813
2014,Draymond Green,4228.02,3.124506
2014,Evan Fournier,3207.026,-1.121752
2019,Brandon Ingram,3850.0,1.148983
2014,Kevin Martin,4581.678,-0.827841
2017,Glenn Robinson III,3045.484,0.3454132
2018,Rodney Hood,3833.189,-2.084581
2019,Tahjere McCall,20.585,4.499902
2015,Khris Middleton,5212.545,1.154553
2019,J.J. Barea,1623.85,-1.652874
2019,Jaylen Brown,4697.732,1.177987
2018,Ed Davis,3140.459,0.4917071
2018,Ian Clark,3538.071,1.618428
2014,Chris Kaman,1573.047,4.358961
2016,Erick Green,83.69229,-2.361076
2018,Milton Doyle,268.5417,-0.549738
2017,Diamond Stone,50.96,-5.218743
2016,LeBron James,6937.195,1.481119
2017,Tyler Johnson,4449.472,0.6276743
2017,Paul Millsap,5333.394,-0.1855008
2016,Darrell Arthur,3109.063,1.257271
2018,Jake Layman,353.5333,-1.843167
2015,Chris Andersen,2216.597,-1.264457
2015,Jordan Hamilton,257.8521,-0.940565
2018,Damian Jones,212.4615,-1.881086
2015,Jabari Brown,1138.722,-0.0209801
2019,Marcus Smart,4760.152,-0.0094045
2016,Tiago Splitter,1212.522,0.510453
2017,Chris McCullough,172.5033,1.5714
2017,Serge Ibaka,5494.947,0.2770441
2014,Omer Asik,2363.973,1.054253
2019,Klay Thompson,7393.754,0.8049982
2014,Dennis Schroder,1309.086,0.1985045
2019,Joakim Noah,1466.128,1.357439
2016,Thaddeus Young,4853.615,-0.4598935
2015,Kevin Love,5188.303,0.5419081
2015,Justin Holiday,1409.783,0.6352922
2014,Will Bynum,2149.721,-0.0729218
2014,James Johnson,1939.286,1.205895
2016,PJ Tucker,5275.792,0.3403468
2014,Nick Young,3768.571,-0.4054103
2014,Ish Smith,2071.521,0.133162
2015,Dwyane Wade,3821.276,0.5707772
2014,Brandon Jennings,5523.632,-1.321382
2019,Shaun Livingston,2710.418,0.0765885
2018,Alec Burks,2442.966,-2.676581
2015,Austin Daye,718.5025,-1.0589
2019,Kyle Anderson,2605.5,1.501297
2014,Khris Middleton,4840.563,-0.3234062
2018,Georgios Papagiannis,256.8904,-5.565267
2014,Dwyane Wade,4789.79,-0.2968494
2019,Andrew Harrison,383.9919,-3.097328
2017,Mirza Teletovic,2342.558,-0.8664932
2018,Khem Birch,1186.225,0.9504299
2014,Steve Novak,1136.362,0.1749728
2014,Alonzo Gee,2079.95,-1.231118
2019,Caris LeVert,2592.982,-0.9719455
2014,Aaron Gray,727.2385,-1.097272
2016,Trey Lyles,2696.34,-0.3823955
2019,Frank Jackson,2627.815,-2.104755
2018,Devin Booker,4055.209,-0.686275
2015,Jonas Valanciunas,4341.757,0.4150535
2014,Jared Dudley,3634.646,1.390039
2017,Darren Collison,4111.817,-0.0103965
2016,CJ Wilcox,366.9008,3.210024
2019,Justise Winslow,4093.494,-0.4053941
2014,Ben Gordon,552.4781,0.9308009
2014,Reggie Williams,34.64458,0.7640281
2017,Austin Rivers,4402.34,0.3515468
2019,Jodie Meeks,372.2521,-0.1045444
2019,Jamal Crawford,2646.792,-2.403343
2019,Dragan Bender,1790.011,1.135147
2014,Jrue Holiday,2278.618,-0.2963586
2017,Rudy Gobert,5778.268,3.386782
2018,Damien Wilkins,312.17,1.452605
2014,Ryan Anderson,1577.909,-1.045134
2015,Jusuf Nurkic,2277.006,1.039032
2019,Dwight Howard,494.9792,-0.2561851
2016,David Lee,1976.073,0.1791393
2017,Taj Gibson,4307.614,0.649262
2016,Blake Griffin,2658.044,-0.4353958
2018,Mike Muscala,2283.858,0.0602083
2017,Greivis Vasquez,85.95438,3.510204
2014,Shelvin Mack,3253.614,0.2836654
2018,Kent Bazemore,3740.501,-1.236868
2018,Isaiah Thomas,1868.733,1.064594
2015,James Johnson,2754.735,0.655341
2015,Henry Walker,1252.86,0.3570428
2017,Adreian Payne,279.45,0.2621272
2017,Marcin Gortat,6099.165,-0.321724
2018,Scotty Hopson,21.96167,3.88474
2018,Isaiah Hicks,503.6,-1.673875
2017,Tyson Chandler,2746.352,-0.322989
2015,Jerel McNeal,72.825,-0.5589656
2015,C.J. Watson,2878.069,0.9813545
2017,Ramon Sessions,1713.744,-0.1194658
2018,Ekpe Udoh,1744.627,2.166296
2014,Bradley Beal,5839.12,0.8649276
2018,Dirk Nowitzki,3963.479,-0.2353613
2014,James Anderson,4905.663,-1.184293
2015,Dirk Nowitzki,5084.947,-0.8734295
2019,Rodney Hood,4642.278,0.1224949
2019,D'Angelo Russell,5600.034,0.3260713
2015,Marcus Morris,4219.09,-0.323113
2019,Terrence Ross,4803.834,-1.142614
2015,Nick Johnson,669.5333,1.113351
2019,Bonzie Colson,228.3808,-4.752103
2019,Khris Middleton,6334.098,-0.1893033
2019,Moritz Wagner,990.12,1.422899
2018,Gordon Hayward,10.47604,-11.75368
2017,Arron Afflalo,3163.95,-2.214272
2018,Corey Brewer,2957.712,-1.029878
2018,Lance Stephenson,4088.715,-1.57359
2014,Vince Carter,4451.435,0.8706248
2015,Festus Ezeli,1450.457,1.402255
2014,Royal Ivey,8.854167,32.00608
2016,Doug McDermott,3860.8,-1.308229
2016,Terrence Jones,2181.09,-2.23662
2017,Alan Anderson,635.25,-2.504901
2016,CJ McCollum,6642.746,0.1722853
2017,Andrew Bogut,1153.698,0.6186568
2016,Tyus Jones,1198.644,-3.409795
2014,Elias Harris,24.64229,-25.02556
2014,Dion Waiters,4099.539,0.0941377
2015,Nate Wolters,488.6221,0.9206964
2017,J.J. Barea,1552.922,0.235564
2018,Josh Gray,191.5292,-5.6091
2017,Danny Green,4431.794,1.735659
2015,DeMarcus Cousins,4102.746,1.376596
2018,Tony Snell,4482.854,-1.110257
2019,Rudy Gay,4215.781,0.6931447
2019,Kelly Olynyk,3795.385,-0.2127411
2018,Alfonzo McKinnie,114.0604,2.833355
2016,Tyson Chandler,3359.035,-1.433458
2015,JaKarr Sampson,2409.501,-0.1561327
2018,Marcus Morris,4117.75,0.4923457
2019,Mitchell Robinson,2881.5,3.322126
2018,Jeff Teague,5055.848,-1.397257
2018,Arron Afflalo,1410.319,0.4262567
2016,Mike Muscala,1324.077,-0.9294954
2019,Tobias Harris,6998.17,-0.2383566
2015,Jannero Pargo,144.1294,4.844417
2015,Zaza Pachulia,3747.208,0.2407871
2016,Steve Blake,2110.715,0.5140185
2017,Bryn Forbes,745.1081,-0.7328264
2015,Hedo Turkoglu,1557.288,0.0438825
2018,Jabari Parker,1911.777,0.3958077
2014,Mike Muscala,457.9656,-4.659092
2015,Alexey Shved,1577.03,-2.374654
2017,Mike Miller,331.5079,-1.338042
2017,Derrick Favors,2784.305,0.7772635
2017,Ish Smith,3990.644,0.232897
2019,Nikola Vucevic,5514.724,0.9354314
2014,C.J. Watson,3084.156,0.5975937
2014,Trey Burke,4403.831,-0.3844142
2017,Tobias Harris,5194.431,-0.2714612
2018,Malik Monk,1828.094,-3.331438
2014,David Lee,5136.437,0.8930951
2016,Jeff Teague,5300.463,0.856446
2014,Shannon Brown,527.9106,0.0210017
2015,DeMar DeRozan,4429.898,-1.585678
2014,Danny Green,4433.965,1.53356
2019,Jake Layman,2861.078,-0.2457758
2017,Kyle Singler,820.4333,0.1657533
2016,Bobby Portis,2261.855,1.97858
2016,Luis Montero,100.7696,-10.70359
2018,Alex Abrines,2578.298,-0.6406532
2014,Rudy Gobert,877.1321,0.8952644
2018,Nemanja Bjelica,2964.047,0.9088361
2018,Zach Collins,2266.254,0.6808689
2017,Steve Novak,41.15375,-1.139347
2018,Dorian Finney-Smith,917.28,-0.740273
2014,John Wall,6777.092,-1.232761
2017,Kosta Koufos,2847.756,1.107241
2016,Nikola Mirotic,3398.647,0.3181047
2018,Nick Young,3420.126,-1.22327
2015,Shabazz Napier,1946.202,-3.287531
2018,Dennis Schroder,4317.478,-1.560584
2018,Russell Westbrook,6561.886,-0.5728385
2014,Meyers Leonard,781.2623,-1.644076
2018,Dante Exum,757.2339,4.815247
2016,Nikola Pekovic,301.405,-1.017022
2014,Michael Beasley,1694.816,0.9659339
2019,Cristiano Felicio,1592.088,-0.4741898
2018,Tyson Chandler,2440.12,-0.1036723
2015,Jon Leuer,1672.609,1.12202
2019,Anfernee Simons,338.6006,-2.806055
2018,Derrick Walton Jr.,300.0638,0.2333302
2016,Mason Plumlee,4933.161,-0.2021923
2014,DeMar DeRozan,6336.263,-0.4495337
2019,DeMarre Carroll,3941.786,-0.5368994
2017,Corey Brewer,2715.614,-0.6956648
